sil-01.21.289.11.288,.815.be,129.154.238.132
sil-02.22.288.12.287,.815.be,146.56.48.141
sil-03.23.287.13.286,.815.be,141.148.197.113
sil-04.24.286.14.285,.815.be,152.67.28.218
sil-05.25.285.15.284,.815.be,141.148.212.185
sil-06.26.284.16.283,.815.be,146.56.50.250
sil-07.27.283.17.282,.815.be,140.238.161.251
sil-08.28.282.18.281,.815.be,140.238.245.75
sil-09.29.281.19.280,.815.be,141.148.209.223
sil-10.30.280.20.279,.815.be,144.24.114.65
sil-11.31.279.21.278,.815.be,144.24.118.150
sil-12.32.278.22.277,.815.be,144.24.117.116
sil-13.33.277.23.276,.815.be,141.148.192.195
sil-14.34.276.24.275,.815.be,129.154.229.235
sil-15.35.275.25.274,.815.be,141.148.196.19
sil-16.36.274.26.273,.815.be,141.148.195.60
sil-17.37.273.27.272,.815.be,152.67.19.146
sil-18.38.272.28.271,.815.be,129.154.238.132
sil-19.39.271.29.270,.815.be,146.56.48.141
sil-20.40.270.30.269,.815.be,141.148.197.113
sil-21.41.269.31.268,.815.be,152.67.28.218
sil-22.42.268.32.267,.815.be,141.148.212.185
sil-23.43.267.33.266,.815.be,146.56.50.250
sil-24.44.266.34.265,.815.be,140.238.161.251
sil-25.45.265.35.264,.815.be,140.238.245.75
sil-26.46.264.36.263,.815.be,141.148.209.223
sil-27.47.263.37.262,.815.be,144.24.114.65
sil-28.48.262.38.261,.815.be,144.24.118.150
sil-29.49.261.39.260,.815.be,144.24.117.116
sil-30.50.260.40.259,.815.be,141.148.192.195
sil-31.51.259.41.258,.815.be,129.154.229.235
sil-32.52.258.42.257,.815.be,141.148.196.19
sil-33.53.257.43.256,.815.be,141.148.195.60
sil-34.54.256.44.255,.815.be,152.67.19.146
sil-35.55.255.45.254,.815.be,129.154.238.132
sil-36.56.254.46.253,.815.be,146.56.48.141
sil-37.57.253.47.252,.815.be,141.148.197.113
sil-38.58.252.48.251,.815.be,152.67.28.218
sil-39.59.251.49.250,.815.be,141.148.212.185
sil-40.60.250.50.249,.815.be,146.56.50.250
gol-01.21.289.11.288,.815.be,140.238.161.251
gol-02.22.288.12.287,.815.be,140.238.245.75
gol-03.23.287.13.286,.815.be,141.148.209.223
gol-04.24.286.14.285,.815.be,144.24.114.65
gol-05.25.285.15.284,.815.be,144.24.118.150
gol-06.26.284.16.283,.815.be,144.24.117.116
gol-07.27.283.17.282,.815.be,141.148.192.195
gol-08.28.282.18.281,.815.be,129.154.229.235
gol-09.29.281.19.280,.815.be,141.148.196.19
gol-10.30.280.20.279,.815.be,141.148.195.60
gol-11.31.279.21.278,.815.be,152.67.19.146
gol-12.32.278.22.277,.815.be,129.154.238.132
gol-13.33.277.23.276,.815.be,146.56.48.141
gol-14.34.276.24.275,.815.be,141.148.197.113
gol-15.35.275.25.274,.815.be,152.67.28.218
gol-16.36.274.26.273,.815.be,141.148.212.185
gol-17.37.273.27.272,.815.be,146.56.50.250
gol-18.38.272.28.271,.815.be,140.238.161.251
gol-19.39.271.29.270,.815.be,140.238.245.75
gol-20.40.270.30.269,.815.be,141.148.209.223
gol-21.41.269.31.268,.815.be,144.24.114.65
gol-22.42.268.32.267,.815.be,144.24.118.150
gol-23.43.267.33.266,.815.be,144.24.117.116
gol-24.44.266.34.265,.815.be,141.148.192.195
gol-25.45.265.35.264,.815.be,129.154.229.235
gol-26.46.264.36.263,.815.be,141.148.196.19
gol-27.47.263.37.262,.815.be,141.148.195.60
gol-28.48.262.38.261,.815.be,152.67.19.146
gol-29.49.261.39.260,.815.be,129.154.238.132
gol-30.50.260.40.259,.815.be,146.56.48.141
gol-31.51.259.41.258,.815.be,141.148.197.113
gol-32.52.258.42.257,.815.be,152.67.28.218
gol-33.53.257.43.256,.815.be,141.148.212.185
gol-34.54.256.44.255,.815.be,146.56.50.250
gol-35.55.255.45.254,.815.be,140.238.161.251
gol-36.56.254.46.253,.815.be,140.238.245.75
gol-37.57.253.47.252,.815.be,141.148.209.223
gol-38.58.252.48.251,.815.be,144.24.114.65
gol-39.59.251.49.250,.815.be,144.24.118.150
gol-40.60.250.50.249,.815.be,144.24.117.116
